# NOTE: companies_this_topic = unique companies for THIS topic only. DO NOT SUM - double-counts companies across topics. Global unique total: 373352 companies (all regions 90-day).
topic,companies_this_topic,total_signals,acc_NAMER,acc_EMEA,acc_APAC,acc_LATAM,acc_ANZ,acc_Global,sig_NAMER,sig_EMEA,sig_APAC,sig_LATAM,sig_ANZ,sig_Global
business continuity planning,12362,197818,1223,4209,487,4565,216,1662,30648,54622,5392,72180,2922,32054
Bishop Fox,38784,197566,3983,14273,623,12408,1531,5966,26348,70763,1838,63413,5807,29397
dynamic updates,38784,197566,3983,14273,623,12408,1531,5966,26348,70763,1838,63413,5807,29397
executive report,38784,197566,3983,14273,623,12408,1531,5966,26348,70763,1838,63413,5807,29397
ransomware scenario emulation,38784,197566,3983,14273,623,12408,1531,5966,26348,70763,1838,63413,5807,29397
statement of work,38784,197566,3983,14273,623,12408,1531,5966,26348,70763,1838,63413,5807,29397
test environment,38784,197566,3983,14273,623,12408,1531,5966,26348,70763,1838,63413,5807,29397
endpoint prevention,38777,197527,3982,14271,623,12405,1531,5965,26343,70755,1838,63396,5808,29387
testing coverage,38777,197527,3982,14271,623,12405,1531,5965,26343,70755,1838,63396,5808,29387
next-generation antivirus,38758,197312,3980,14268,621,12396,1529,5964,26314,70695,1835,63306,5799,29363
ai tools,42655,196954,4318,13540,1444,16455,1035,5863,23576,55873,6374,78962,4743,27426
software-defined wide area networks (sd-wan),30161,196803,3424,10960,735,9836,1016,4190,36151,62199,8280,62076,4011,24086
ai security,31581,196524,3333,11186,729,10928,1023,4382,35533,66758,2789,62882,4402,24160
saas security,31963,195859,3521,11978,821,10143,1070,4430,36145,70221,3058,57611,4333,24491
integration platform as a service (ipaas),15429,194730,1415,4652,807,6223,318,2014,17403,57972,15387,69440,2929,31599
advanced threat protection (atp),33579,194487,3676,13019,926,10304,1125,4529,36153,69784,2989,56965,4435,24161
engineering teams,24338,193523,2196,8650,822,8285,655,3730,35927,59656,4387,66398,3360,23795
open-source,31604,193045,3504,11757,786,10110,1062,4385,36059,68115,3003,57749,4323,23796
cyber ai,29700,193013,3300,11182,691,9387,1020,4120,35322,66242,2714,58740,4293,25702
actionable data,31304,192066,3422,11401,708,10374,1036,4363,35832,66444,2786,59014,4325,23665
ai-based,31391,190822,3484,11660,780,10052,1054,4361,36028,67133,2985,57014,4307,23355
real-time detection,31372,190747,3484,11661,780,10035,1054,4358,36009,67137,2985,56963,4307,23346
cross-domain detection and response,31371,190743,3484,11661,780,10034,1054,4358,36009,67137,2985,56961,4307,23344
cryptocurrency wallet,31371,190743,3484,11661,780,10034,1054,4358,36009,67137,2985,56961,4307,23344
detect and respond,31369,190724,3483,11660,780,10034,1054,4358,35999,67132,2985,56957,4307,23344
ui/ux design,25725,190635,2329,8328,775,9782,641,3870,40261,54759,5302,66326,2630,21357
cyber operations,31355,190560,3482,11655,780,10027,1054,4357,35982,67080,2982,56894,4307,23315
cyber threat advisory,31355,190560,3482,11655,780,10027,1054,4357,35982,67080,2982,56894,4307,23315
research advisory,31355,190560,3482,11655,780,10027,1054,4357,35982,67080,2982,56894,4307,23315
threat intelligence advisory,31355,190560,3482,11655,780,10027,1054,4357,35982,67080,2982,56894,4307,23315
threat research,31355,190560,3482,11655,780,10027,1054,4357,35982,67080,2982,56894,4307,23315
assisted living,9404,190085,665,1556,116,5469,204,1394,10008,30523,4959,118347,4060,22188
healthcare revenue cycle management,5908,189139,425,933,108,3501,77,864,14438,25115,11713,111885,1575,24413
smart home,9369,188992,664,1526,112,5472,204,1391,10007,30484,4954,118442,4061,21044
emerging threats,29884,188121,3333,11090,686,9621,1015,4139,35544,65741,2713,56692,4283,23148
mobile technology,29882,188104,3332,11089,686,9623,1015,4137,35542,65731,2713,56688,4285,23145
independent living,9343,188048,664,1524,112,5452,204,1387,10011,30449,4954,118322,4061,20251
senior care,9344,188048,664,1524,112,5453,204,1387,10007,30450,4954,118324,4061,20252
smart home devices,9343,188048,664,1524,112,5452,204,1387,10011,30449,4954,118322,4061,20251
erp integration,41149,187281,3817,12771,1720,15782,1060,5999,22524,53710,8237,74054,3691,25065
data-driven decision making,31024,187026,3420,11356,757,10146,1045,4300,32012,65803,2898,58795,4285,23233
centralized visibility,42815,186794,4322,13682,1681,16076,1094,5960,23383,56188,8294,72006,3528,23395
Nerdio,8948,186558,470,1626,308,5160,125,1259,2894,11308,993,146007,1031,24325
information protection,29795,186294,3277,11292,686,9372,1026,4142,35236,65807,2713,55238,4308,22992
medical devices,43645,186219,3594,11412,1562,19596,1037,6444,17602,38607,6848,93907,2787,26468
mergers and acquisitions,29652,186161,3287,11095,689,9455,1015,4111,35260,65540,2718,55399,4286,22958
attack vector,29493,185853,3277,11057,686,9363,1015,4095,35236,65465,2713,55230,4283,22926
att&ck framework,29492,185851,3277,11057,686,9362,1015,4095,35236,65465,2713,55228,4283,22926
security posture verification,29492,185851,3277,11057,686,9362,1015,4095,35236,65465,2713,55228,4283,22926
Cybereason,29490,185834,3276,11056,686,9364,1015,4093,35234,65455,2713,55224,4285,22923
ai powered remediation,29490,185834,3276,11056,686,9364,1015,4093,35234,65455,2713,55224,4285,22923
best of breed,29490,185834,3276,11056,686,9364,1015,4093,35234,65455,2713,55224,4285,22923
endpoint activity monitoring,29490,185834,3276,11056,686,9364,1015,4093,35234,65455,2713,55224,4285,22923
ai analyst,29461,185601,3273,11049,685,9349,1014,4091,35198,65386,2707,55136,4282,22892
cyber ai analyst,29461,185601,3273,11049,685,9349,1014,4091,35198,65386,2707,55136,4282,22892
cybersecurity skills,29461,185601,3273,11049,685,9349,1014,4091,35198,65386,2707,55136,4282,22892
reinforcement learning,29461,185601,3273,11049,685,9349,1014,4091,35198,65386,2707,55136,4282,22892
security analyst,29461,185601,3273,11049,685,9349,1014,4091,35198,65386,2707,55136,4282,22892
fractional cfo,35590,185493,3042,10252,1437,14632,934,5293,18281,51652,6124,77551,3912,27973
fractional cfo services,35590,185493,3042,10252,1437,14632,934,5293,18281,51652,6124,77551,3912,27973
Vicor,785,184775,21,367,2,255,27,113,17589,53250,7,105861,5387,2681
edge computing,33435,184173,3086,10904,1688,12525,751,4481,19909,56105,14032,67692,3171,23264
revenue operations (revops),35246,184130,3672,10988,1060,13972,853,4701,23482,54510,7258,72868,3424,22588
customer experience management (cxm),46320,183861,4343,16602,1516,16299,1306,6254,18527,61035,6013,69897,4419,23970
low-code development,18031,182658,1267,4580,385,8730,307,2762,25860,52323,4064,72224,3649,24538
Verizon Connect,30483,182337,3371,11337,762,9730,1047,4236,31686,65641,2903,54943,4284,22880
fleet technology,30473,182313,3367,11336,762,9725,1047,4236,31677,65639,2903,54937,4284,22873
online reputation management,24181,182287,2533,8313,875,8787,593,3080,19685,55123,6099,72267,4521,24592
data accuracy,30421,181907,3360,11320,757,9711,1044,4229,31651,65479,2898,54851,4281,22747
fleet technology trends,30412,181897,3360,11319,757,9703,1044,4229,31651,65477,2898,54843,4281,22747
survey data,30412,181897,3360,11319,757,9703,1044,4229,31651,65477,2898,54843,4281,22747
vehicle fleet technology,30412,181897,3360,11319,757,9703,1044,4229,31651,65477,2898,54843,4281,22747
operational efficiencies,31248,181426,3516,11732,744,9873,1059,4324,34683,65148,2368,52029,4064,23134
private 5g networks,15371,181329,1406,4627,805,6208,316,2009,17116,57587,15382,69371,2918,18955
Barracuda Networks,30515,180774,3410,11332,756,9732,1041,4244,32125,64828,2882,54158,4253,22528
soc,31135,180711,3592,11539,803,9830,1043,4328,31668,64861,2948,54154,4260,22820
ai assistants,27594,180328,2404,8879,851,10623,691,4146,29896,49271,5568,66852,3042,25699
incident response automation,30413,179877,3359,11319,757,9705,1044,4229,31445,64600,2895,54180,4270,22487
its security,30413,179877,3359,11319,757,9705,1044,4229,31445,64600,2895,54180,4270,22487
marketing measurement,30413,179877,3359,11319,757,9705,1044,4229,31445,64600,2895,54180,4270,22487
mobile marketing,30413,179877,3359,11319,757,9705,1044,4229,31445,64600,2895,54180,4270,22487
mobile marketing analytics,30413,179877,3359,11319,757,9705,1044,4229,31445,64600,2895,54180,4270,22487
playbook automation,30413,179877,3359,11319,757,9705,1044,4229,31445,64600,2895,54180,4270,22487
it infrastructure,31769,179803,3198,11111,723,11166,1016,4555,31008,63946,2804,55023,4189,22833
cloud connectivity,29845,179386,3404,10923,616,9735,1015,4152,34975,60561,2226,55504,4005,22115
incentive compensation management,24382,179231,2780,7742,842,9236,525,3257,21863,53457,7998,70638,3031,22244
email protection,30346,179197,3350,11303,756,9674,1041,4222,31335,64383,2882,53936,4253,22408
24/7 security,30346,179196,3350,11303,756,9674,1041,4222,31335,64383,2882,53936,4253,22407
24/7 security operations,30346,179196,3350,11303,756,9674,1041,4222,31335,64383,2882,53936,4253,22407
api-based,30346,179196,3350,11303,756,9674,1041,4222,31335,64383,2882,53936,4253,22407
cybersecurity as a service,30346,179196,3350,11303,756,9674,1041,4222,31335,64383,2882,53936,4253,22407
email defense,30346,179196,3350,11303,756,9674,1041,4222,31335,64383,2882,53936,4253,22407
sales incentive plan,29040,178514,3153,8876,881,11548,654,3928,23425,47962,7023,72391,3290,24423
unified data,30624,178317,2755,10364,1252,10960,743,4550,23144,58425,9577,62655,3599,20917
networking trends,16545,176683,1571,6036,705,5597,370,2266,23207,56698,5340,66246,4137,21055
cloud-native,35004,176634,3486,12685,1262,11832,1037,4702,24757,58801,3522,63816,3766,21972
social engineering,29610,176619,3190,11092,721,9484,1015,4108,31026,63990,2807,52697,4195,21904
ZoomInfo,35991,176523,3671,11324,1112,14134,928,4822,21528,48710,6606,71580,3367,24732
cybersecurity posture assessment,29550,176292,3190,11091,721,9432,1015,4101,31024,63975,2807,52416,4185,21885
sales prospecting,38344,176236,3852,11722,1201,15441,947,5181,21214,47554,6746,74095,3122,23505
control systems,15138,176154,1275,4880,586,5883,314,2200,25496,51141,5228,67141,2719,24429
security governance,29543,176153,3190,11086,721,9432,1015,4099,30976,63869,2801,52467,4180,21860
cost management,42953,176147,4016,13394,1868,16587,995,6093,21647,48713,7349,69780,3151,25507
continuous scanning,29537,176001,3190,11086,721,9426,1015,4099,30976,63858,2801,52328,4180,21858
reliable services,29537,176001,3190,11086,721,9426,1015,4099,30976,63858,2801,52328,4180,21858
vulnerability response,29537,176001,3190,11086,721,9426,1015,4099,30976,63858,2801,52328,4180,21858
ongoing process,29377,175466,3337,10991,634,9296,1020,4099,34043,61080,2251,50581,4018,23493
hr,37562,175121,3652,13015,1069,13152,1397,5277,19394,55338,3966,64103,4311,28009
data integration,31738,174426,2751,8767,1090,13643,760,4727,20900,51680,5475,68732,4250,23389
hr analytics,37798,173895,3581,13043,1065,13387,1405,5317,19630,56954,3960,65579,4447,23325
it/ot cybersecurity convergence,10656,173272,1012,3425,470,3996,218,1535,26464,50340,5532,65702,3032,22202
network deployment,29314,173084,3345,10913,616,9328,1015,4097,34097,60241,2226,50919,4002,21599
threat actors,36741,173042,3855,13716,1136,11825,1074,5135,27436,58610,3225,56789,4025,22957
cyber-resilience,29164,172419,3327,10886,616,9242,1015,4078,34031,60124,2230,50503,4007,21524
digital security,29164,172419,3327,10886,616,9242,1015,4078,34031,60124,2230,50503,4007,21524
operations automation,29164,172419,3327,10886,616,9242,1015,4078,34031,60124,2230,50503,4007,21524
secops automation,29164,172419,3327,10886,616,9242,1015,4078,34031,60124,2230,50503,4007,21524
security workflows,29164,172419,3327,10886,616,9242,1015,4078,34031,60124,2230,50503,4007,21524
vulnerability data,29164,172419,3327,10886,616,9242,1015,4078,34031,60124,2230,50503,4007,21524
D3 Security,29164,172400,3328,10886,616,9242,1014,4078,34033,60119,2230,50496,4005,21517
automation and response,29164,172400,3328,10886,616,9242,1014,4078,34033,60119,2230,50496,4005,21517
event pipeline,29164,172400,3328,10886,616,9242,1014,4078,34033,60119,2230,50496,4005,21517
integrated tools,29164,172400,3328,10886,616,9242,1014,4078,34033,60119,2230,50496,4005,21517
soar integration,29164,172400,3328,10886,616,9242,1014,4078,34033,60119,2230,50496,4005,21517
url management,29164,172400,3328,10886,616,9242,1014,4078,34033,60119,2230,50496,4005,21517
telemedicine,13862,172393,1115,2355,185,7927,278,2002,12222,28108,5532,104449,3180,18902
strategic initiatives,29145,172256,3325,10879,616,9235,1014,4076,34013,60063,2226,50445,4001,21508
Happiest Minds,29144,172255,3325,10879,616,9234,1014,4076,34013,60063,2226,50444,4001,21508
driving automation,29144,172255,3325,10879,616,9234,1014,4076,34013,60063,2226,50444,4001,21508
network orchestration,29144,172255,3325,10879,616,9234,1014,4076,34013,60063,2226,50444,4001,21508
sales processes,21470,172041,2479,6791,726,8138,476,2860,22576,52560,7304,66770,3042,19789
sales rep development,35859,171840,3656,11262,1105,14104,922,4810,21387,47251,6327,71150,3333,22392
value proposition,35859,171839,3656,11262,1105,14104,922,4810,21387,47249,6327,71151,3333,22392
azure,41276,171724,3893,13693,1780,14895,995,6020,21760,53141,5822,64580,3809,22612
ransomware,14691,171473,1357,5329,622,5023,323,2037,21531,54514,4905,64198,3898,22427
sse,32727,171231,3248,12204,1207,10691,958,4419,24182,58901,3802,60123,3875,20348
healthcare cybersecurity,6372,171155,461,1000,113,3827,77,894,13107,25240,10952,96961,1412,23483
invoice automation,22701,170999,2099,6745,1046,9107,557,3147,18987,46323,7113,70179,3420,24977
connected devices,27449,170600,2479,8145,1042,11439,508,3836,22876,41245,6458,75163,2446,22412
building management,14369,170334,1382,4218,496,5908,278,2087,21831,48329,3461,69998,3211,23504
cold emailing,18353,170208,1934,4178,652,8849,270,2470,19864,35633,7013,76501,2228,28969
active directory,35757,169602,3201,12255,1492,12822,901,5086,21732,53194,4587,64365,3815,21909
ai implementation,49320,169411,4710,18133,1619,16809,1379,6670,18736,58321,5069,61416,3571,22298
technology stack,33787,169015,3521,11298,1121,12187,862,4798,30781,51945,4224,56848,3285,21932
strategic planning,50645,168512,4608,17438,1742,18630,1323,6904,17230,55667,5655,61652,3562,24746
email prospecting,18344,168355,1932,4174,652,8847,270,2469,19848,35619,7012,76468,2228,27180
advanced analytics,45477,168311,4322,16250,1470,15936,1200,6299,17769,57174,4926,63484,3539,21419
patient monitoring,12431,168146,888,1948,166,7344,258,1827,11410,26797,5502,103029,3110,18298
future trends,31498,167756,2813,9280,1277,13321,562,4245,17872,44582,11104,71205,2402,20591
quality of service (qos),19432,167216,1681,5917,1052,7863,381,2538,15648,50695,15367,64050,2903,18553
life cycle,24708,167143,2159,8445,802,8800,670,3832,25437,53214,3528,60871,3213,20880
impact.com,45181,166460,4155,15084,1302,17059,1197,6384,15321,53831,4088,65963,3878,23379
lateral movement,33595,166150,3419,12367,1274,11007,981,4547,27100,57245,4080,53380,3456,20889
process automation,42760,165912,3692,12370,1835,17502,1119,6242,18104,43838,6309,69691,3422,24548
benefits administration,44814,165635,4321,14768,1229,16821,1392,6283,18908,52388,4276,62589,3632,23842
compliance standards,24765,164931,2575,9241,573,8098,802,3476,26469,60420,2554,49800,3674,22014
business continuity,26904,164761,2581,9399,1046,9434,656,3788,24656,49023,4512,57881,3197,25492
azure devops,24528,164613,2574,9240,572,7905,802,3435,26468,60418,2553,49546,3674,21954
azure devops pipelines,24528,164613,2574,9240,572,7905,802,3435,26468,60418,2553,49546,3674,21954
c#,24528,164613,2574,9240,572,7905,802,3435,26468,60418,2553,49546,3674,21954
container vulnerability scanning,24528,164613,2574,9240,572,7905,802,3435,26468,60418,2553,49546,3674,21954
devops pipelines,24528,164613,2574,9240,572,7905,802,3435,26468,60418,2553,49546,3674,21954
enterprise knowledge ai copilot,24528,164613,2574,9240,572,7905,802,3435,26468,60418,2553,49546,3674,21954
smart manufacturing,19174,164312,1783,5657,1036,7835,373,2490,16254,49063,16278,61833,2259,18625
remote access security,32364,164262,3257,12249,1206,10295,961,4396,24153,58668,3806,53929,3941,19765
data warehouse,20348,163906,1912,6524,655,7393,625,3239,20723,51311,5506,62644,4023,19699
c-suite,46083,163817,4054,16017,1493,16893,1268,6358,14801,57584,4667,59838,3651,23276
security,32396,163769,3246,12180,1202,10409,954,4405,24071,58080,3789,54021,3909,19899
ciso insights,14423,162719,1329,5318,625,4902,309,1940,20560,52159,4818,62259,3816,19107
recruitment automation,30770,162327,2895,9757,818,11791,1060,4449,16046,50979,3436,63524,4386,23956
policy management,32649,161594,3664,12056,1108,10495,928,4398,24707,55840,3285,53349,3352,21061
